|E|,Key Comparisons
801000,805139
802000,806138
803000,807354
804000,808354
805000,809353
806000,810354
807000,811168
808000,812167
809000,813168
810000,814175
811000,815000
812000,816061
813000,817061
814000,818060
815000,819263
816000,820258
817000,821262
818000,822262
819000,823103
820000,824108
821000,825110
822000,826107
823000,827134
824000,828226
825000,829226
826000,830228
827000,831177
828000,832254
829000,833249
830000,834243
831000,835239
832000,836000
833000,837001
834000,837997
835000,839200
836000,840200
837000,841208
838000,842207
839000,843117
840000,844078
841000,845072
842000,846092
843000,847088
844000,848088
845000,849084
846000,850145
847000,851162
848000,852157
849000,853156
850000,854208
851000,855207
852000,856212
853000,857208
854000,858097
855000,859095
856000,860099
857000,861101
858000,862154
859000,863147
860000,864156
861000,865198
862000,866198
863000,867202
864000,868201
865000,869050
866000,870047
867000,871049
868000,872050
869000,873044
870000,874043
871000,875041
872000,876053
873000,877109
874000,878112
875000,879104
876000,880104
877000,881068
878000,882067
879000,883090
880000,884153
881000,885117
882000,886108
883000,887133
884000,887820
885000,888837
886000,889822
887000,890820
888000,892024
889000,893024
890000,894021
891000,894987
892000,895986
893000,896991
894000,897904
895000,898904
896000,899903
897000,900934
898000,901910
899000,902909
900000,903949
901000,904949
902000,905996
903000,906980
904000,907972
905000,908996
906000,909970
907000,910972
908000,911985
909000,913000
910000,914037
911000,915043
912000,916043
913000,917112
914000,918112
915000,919148
916000,920120
917000,921107
918000,922106
919000,923102
920000,923868
921000,924867
922000,925865
923000,926999
924000,927997
925000,928988
926000,930009
927000,930917
928000,931917
929000,932923
930000,933939
931000,935052
932000,936052
933000,937050
934000,938134
935000,939118
936000,940123
937000,940964
938000,941946
939000,942944
940000,943957
941000,944879
942000,945883
943000,946867
944000,948038
945000,949037
946000,950038
947000,951043
948000,951817
949000,952817
950000,953806
951000,955005
952000,956009
953000,957021
954000,957933
955000,958931
956000,959924
957000,961182
958000,962182
959000,963183
960000,964170
961000,964751
962000,965753
963000,966768
964000,968100
965000,969103
966000,970101
967000,970883
968000,971893
969000,972908
970000,973911
971000,974979
972000,975978
973000,976977
974000,978011
975000,979011
976000,980014
977000,981050
978000,982049
979000,983049
980000,984065
981000,985043
982000,986046
983000,987022
984000,988025
985000,988986
986000,989964
987000,990980
988000,991992
989000,993220
990000,994220
991000,995209
992000,996050
993000,997066
994000,998067
995000,999065
996000,999875
997000,1000875
998000,1001864
999000,1003093
